Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.7247676849365234	0	0.9946605	0.0035364758	0.99998856	0.9830379	1.0	0.0	6001	6001
5.137307167053223	1	0.9946105	0.003530686	0.9999889	0.98321396	1.0	0.0	6001	12002
7.3631813526153564	2	0.9946414	0.0035295975	0.9999844	0.9832699	1.0	0.0	6001	18003
9.56541633605957	3	0.99458784	0.003525633	0.99998534	0.98306435	1.0	0.0	6001	24004
14.48693585395813	4	0.9945997	0.003528346	0.9999835	0.98368615	1.0	0.0	6001	30005
16.73079752922058	5	0.9946081	0.003536588	0.99999136	0.98294365	1.0	0.0	6001	36006
18.95492959022522	6	0.9945903	0.0034952888	0.9999681	0.9833928	1.0	0.0	6001	42007
21.16149663925171	7	0.99461013	0.003511548	0.9999913	0.983286	1.0	0.0	6001	48008
23.3797664642334	8	0.9946419	0.0035280413	0.99999565	0.9832795	1.0	0.0	6001	54009
25.6031174659729	9	0.9946541	0.003525847	0.9999834	0.98262304	1.0	0.0	6001	60010
27.769105434417725	10	0.99468154	0.0035199786	0.99999017	0.98403317	1.0	0.0	6001	66011
29.95933508872986	11	0.99469537	0.0034836289	0.9999982	0.9833275	1.0	0.0	6001	72012
32.175912618637085	12	0.9946081	0.0035309412	0.999992	0.983055	1.0	0.0	6001	78013
34.391849517822266	13	0.99463195	0.00350567	0.9999883	0.9834062	1.0	0.0	6001	84014
36.60857391357422	14	0.9945837	0.0035642944	0.99999064	0.98297787	1.0	0.0	6001	90015
38.82748603820801	15	0.99453026	0.0035343699	0.9999703	0.9830337	1.0	0.0	6001	96016
41.178767681121826	16	0.99461335	0.0035451665	0.9999818	0.98347473	1.0	0.0	6001	102017
46.18569231033325	17	0.9945979	0.0035249551	0.99996936	0.9827362	1.0	0.0	6001	108018
48.46496295928955	18	0.99461806	0.0035274988	0.9999727	0.9834748	1.0	0.0	6001	114019
50.74791097640991	19	0.9945982	0.0035097252	0.9999856	0.98344266	1.0	0.0	6001	120020
53.064924240112305	20	0.994573	0.0035534508	0.9999811	0.9829386	1.0	0.0	6001	126021
55.418519258499146	21	0.9946215	0.0035030304	0.99997145	0.9832781	1.0	0.0	6001	132022
57.76220679283142	22	0.9946896	0.0035160447	0.9999942	0.98337084	1.0	0.0	6001	138023
60.095502853393555	23	0.9946823	0.0035041247	0.9999872	0.98356867	1.0	0.0	6001	144024
62.6524293422699	24	0.994597	0.0035512745	0.9999839	0.9837488	1.0	0.0	6001	150025
64.92934513092041	25	0.9946253	0.003565417	0.99998975	0.98324287	1.0	0.0	6001	156026
67.22444176673889	26	0.9946467	0.0035453448	0.99999726	0.9838272	1.0	0.0	6001	162027
69.46609902381897	27	0.9946282	0.0035404076	0.9999942	0.9829102	1.0	0.0	6001	168028
71.74871301651001	28	0.9946534	0.0035291612	0.9999803	0.9834484	1.0	0.0	6001	174029
