Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
86.70074224472046	56	0.99469495	0.0034938387	0.9999686	0.9828204	1.0	0.0	6001	342057
88.3354594707489	57	0.9947107	0.003505437	0.9999912	0.9838781	1.0	0.0	6001	348058
89.95572257041931	58	0.9946546	0.0035058993	0.9999907	0.98291576	1.0	0.0	6001	354059
91.48940181732178	59	0.9946518	0.003525459	0.9999727	0.98311114	1.0	0.0	6001	360060
93.06839036941528	60	0.9946594	0.0035016225	0.99998826	0.9835097	1.0	0.0	6001	366061
94.61382532119751	61	0.99466217	0.0035440493	0.9999987	0.9832089	1.0	0.0	6001	372062
96.21658897399902	62	0.9946861	0.0035418675	0.99999535	0.98320305	1.0	0.0	6001	378063
97.79466533660889	63	0.99472713	0.003476669	0.99998933	0.983395	1.0	0.0	6001	384064
99.18179678916931	64	0.99471426	0.0034874463	0.9999897	0.984093	1.0	0.0	6001	390065
100.5814688205719	65	0.99464875	0.0035051126	0.9999824	0.9840832	1.0	0.0	6001	396066
102.10879898071289	66	0.9947056	0.0035643685	0.9999681	0.98347026	1.0	0.0	6001	402067
103.54689812660217	67	0.99466026	0.0034929903	0.9999856	0.9832684	1.0	0.0	6001	408068
105.15252017974854	68	0.99467415	0.0035261314	0.99999374	0.983357	1.0	0.0	6001	414069
106.80597972869873	69	0.9946861	0.003505407	0.9999977	0.9835455	1.0	0.0	6001	420070
108.31459355354309	70	0.9947394	0.0035247214	0.9999952	0.984095	1.0	0.0	6001	426071
109.94163608551025	71	0.99470663	0.0035135266	0.9999963	0.98347396	1.0	0.0	6001	432072
111.45885562896729	72	0.9947492	0.0035383478	0.9999973	0.9831114	1.0	0.0	6001	438073
112.90873837471008	73	0.9947167	0.0035169942	0.9999939	0.9833624	1.0	0.0	6001	444074
114.28466606140137	74	0.99476147	0.003491844	0.9999858	0.9841111	1.0	0.0	6001	450075
115.76206755638123	75	0.9947484	0.0034619612	0.99998194	0.98303163	1.0	0.0	6001	456076
117.34439396858215	76	0.99468446	0.003507427	0.99997395	0.9830128	1.0	0.0	6001	462077
118.83648657798767	77	0.99471956	0.0034895132	0.999994	0.98358005	1.0	0.0	6001	468078
120.31579065322876	78	0.994787	0.0034998003	0.9999843	0.983005	1.0	0.0	6001	474079
121.75694251060486	79	0.99475354	0.003498792	0.9999715	0.9836459	1.0	0.0	6001	480080
123.13653063774109	80	0.9946345	0.003515487	0.99997705	0.9831532	1.0	0.0	6001	486081
124.57020735740662	81	0.9946893	0.0034652322	0.9999913	0.9839981	1.0	0.0	6001	492082
125.94790625572205	82	0.9946762	0.0035194082	0.9999932	0.9836069	1.0	0.0	6001	498083
127.33421778678894	83	0.994656	0.003579963	0.999969	0.9832583	1.0	0.0	6001	504084
128.78689289093018	84	0.99468344	0.0035259128	0.99999225	0.9834742	1.0	0.0	6001	510085
130.22323060035706	85	0.9947202	0.0035838287	0.9999846	0.9829865	1.0	0.0	6001	516086
